tag,word,word_count
NN,arrest,3
VBN,constructed,1
NN,share,1
NN,followthrough,1
NNS,Awards,1
NNS,events,1
NN,hardware,1
NNS,activities,4
CD,201220162017,1
NN,APIs,13
NNS,Libraries,1
NN,drivesinnovation,1
VBG,sending,2
NN,SharePoint,6
VBG,Providing,1
RB,only,3
JJ,Fundamental,1
NN,Info,2
VBN,used,5
RB,atmosphere,1
NN,abstract,1
NNS,offices,6
VB,EVerify,2
NN,leader,5
NN,implement,7
NN,Reactjs,1
NN,industryn,1
NN,Techserve,1
NNS,guidelines,1
JJ,Desirable,1
NN,world,10
NN,refinement,1
CD,46,1
NN,entertainment,3
NN,citys,1
NNS,trails,1
NN,Track,1
NNS,attendees,1
NN,earliestjobdescriptionWebex,1
NN,neighborhood,1
VBN,talented,3
PRP,us,18
NN,Columbus,1
NN,youjobdescriptionWe,1
NN,participation,1
NN,Cambridge,2
NNS,smartwatchwearables,1
VBG,coding,2
NN,desktop,1
VBN,WebMobilebased,1
NN,bus,1
NN,charter,1
JJ,real,5
NNS,Hires,1
NNS,criteria,1
NN,evaluate,3
NN,elegant,2
NN,transformation,3
NN,Recruiter,1
NNS,patterns,9
IN,out,9
JJ,Live,1
WP,Who,4
NN,Asia,1
NN,travel,4
NN,floor,1
NN,Research,2
CD,15m,1
NNS,techniques,4
WDT,which,11
NN,part,7
IN,like,9
JJ,ready,2
NN,stack,5
NN,WindowsMac,1
NNP,USA,2
NNS,movies,1
VBN,Managed,1
NN,Expertise,4
RB,approximately,1
JJ,Solid,9
NNS,creates,1
NN,ActiveRecord,1
RB,primarily,3
NN,platform,19
NN,REQUIRED,1
NN,security,3
NN,contract,3
NN,race,12
NN,family,1
NNS,Startups,1
VBD,walkjobdescriptionAcquired,1
NN,Assurance,1
NN,patient,1
NNS,subprojects,1
NNS,Offices,1
JJ,active,2
NNS,Perks,1
VBD,began,1
NN,origin,12
NN,grow,3
NN,Galileo,2
VBG,weighing,1
NN,Management,6
VBG,interfacing,3
NNP,United,5
NNP,Flatiron,2
NN,Waterfall,1
NN,benefit,2
NNS,Masters,1
VBG,Matching,1
VBN,Modified,1
NN,Mandatory,1
NN,receive,8
NNS,screens,1
NN,discount,1
JJ,global,2
JJ,wide,3
NN,package,5
JJ,Low,1
IN,upon,1
JJ,solid,1
RB,statusjobdescriptionWere,1
VBG,Thriving,1
NN,navigation,1
DT,some,3
NNS,masters,1
NNS,Applications,9
NN,HLD,1
NNS,Identifies,2
NNS,conferences,2
NN,color,13
NN,solve,4
NN,query,2
VBG,focusing,1
